날짜,지역,카테고리,제품,판매수량,단가,매출,담당자
2025-04-12,부산,모바일,폴더블폰,25,2100000,52500000,정도윤
2025-04-19,인천,액세서리,스마트워치,11,480000,5280000,박지호
2025-04-22,광주,가전,프리미엄 에어컨,24,2200000,52800000,김민준
2025-04-22,대구,액세서리,스마트워치,25,480000,12000000,이서연
2025-04-23,부산,액세서리,스마트워치,1,480000,480000,한수아
2025-04-23,서울,모바일,폴더블폰,3,2100000,6300000,김민준
2025-04-23,서울,가전,시그니처 냉장고,23,4500000,103500000,이서연
2025-04-24,광주,액세서리,무선이어폰,10,290000,2900000,박지호
2025-04-25,광주,모바일,플래그십 스마트폰,22,1350000,29700000,김민준
2025-04-30,광주,가전,프리미엄 에어컨,7,2200000,15400000,최유나
2025-05-04,부산,액세서리,스마트워치,18,480000,8640000,한수아
2025-05-06,대구,모바일,폴더블폰,13,2100000,27300000,한수아
2025-05-06,인천,액세서리,무선이어폰,15,290000,4350000,한수아
2025-05-10,인천,액세서리,무선이어폰,3,290000,870000,최유나
2025-05-13,광주,모바일,폴더블폰,25,2100000,52500000,최유나
2025-05-16,대구,액세서리,무선이어폰,22,290000,6380000,최유나
2025-05-19,광주,액세서리,스마트워치,14,480000,6720000,박지호
2025-05-21,대구,가전,시그니처 냉장고,18,4500000,81000000,한수아
2025-05-23,부산,액세서리,무선이어폰,18,290000,5220000,한수아
2025-05-24,부산,노트북,그램 17,17,2390000,40630000,김민준
2025-05-27,부산,액세서리,스마트워치,5,480000,2400000,박지호
2025-05-27,광주,모바일,폴더블폰,19,2100000,39900000,한수아
2025-05-27,대구,모바일,폴더블폰,11,2100000,23100000,정도윤
2025-06-06,부산,모바일,플래그십 스마트폰,1,1350000,1350000,최유나
2025-06-08,대구,액세서리,스마트워치,13,480000,6240000,정도윤
2025-06-08,서울,모바일,플래그십 스마트폰,5,1350000,6750000,김민준
2025-06-10,인천,가전,시그니처 냉장고,19,4500000,85500000,정도윤
2025-06-11,광주,가전,시그니처 냉장고,15,4500000,67500000,정도윤
2025-06-12,부산,액세서리,스마트워치,13,480000,6240000,최유나
2025-06-12,서울,액세서리,무선이어폰,20,290000,5800000,이서연
2025-06-14,부산,액세서리,스마트워치,15,480000,7200000,정도윤
2025-06-15,인천,모바일,플래그십 스마트폰,9,1350000,12150000,이서연
2025-06-15,부산,노트북,그램 17,3,2390000,7170000,한수아
2025-06-18,대구,노트북,그램 17,25,2390000,59750000,박지호
2025-06-19,대구,노트북,그램 17,24,2390000,57360000,정도윤
2025-06-20,대구,노트북,그램 17,6,2390000,14340000,최유나
2025-06-23,부산,가전,프리미엄 에어컨,18,2200000,39600000,정도윤
2025-06-25,인천,모바일,폴더블폰,17,2100000,35700000,박지호
2025-06-26,광주,노트북,그램 프로,20,3290000,65800000,김민준
2025-06-26,대구,노트북,그램 프로,15,3290000,49350000,이서연
2025-06-30,광주,노트북,그램 프로,14,3290000,46060000,한수아
2025-06-30,대구,액세서리,스마트워치,10,480000,4800000,이서연
2025-07-03,서울,모바일,플래그십 스마트폰,22,1350000,29700000,박지호
2025-07-04,광주,모바일,폴더블폰,1,2100000,2100000,이서연
2025-07-09,대구,노트북,그램 17,22,2390000,52580000,한수아
2025-07-14,대구,노트북,그램 프로,21,3290000,69090000,이서연
2025-07-15,서울,액세서리,스마트워치,18,480000,8640000,한수아
2025-07-17,인천,모바일,폴더블폰,2,2100000,4200000,김민준
2025-07-19,인천,가전,프리미엄 에어컨,13,2200000,28600000,김민준
2025-07-21,인천,가전,시그니처 냉장고,21,4500000,94500000,이서연
2025-07-26,부산,노트북,그램 17,8,2390000,19120000,이서연
2025-07-28,인천,액세서리,스마트워치,7,480000,3360000,김민준
2025-07-30,서울,액세서리,무선이어폰,22,290000,6380000,김민준
2025-07-31,대구,가전,시그니처 냉장고,24,4500000,108000000,최유나
2025-07-31,대구,가전,시그니처 냉장고,17,4500000,76500000,정도윤
2025-08-04,서울,노트북,그램 17,16,2390000,38240000,한수아
2025-08-04,대구,액세서리,무선이어폰,14,290000,4060000,한수아
2025-08-05,부산,노트북,그램 프로,5,3290000,16450000,박지호
2025-08-08,대구,노트북,그램 17,17,2390000,40630000,김민준
2025-08-09,대구,모바일,플래그십 스마트폰,10,1350000,13500000,김민준
2025-08-12,대구,액세서리,무선이어폰,16,290000,4640000,최유나
2025-08-15,서울,액세서리,무선이어폰,4,290000,1160000,한수아
2025-08-22,광주,모바일,폴더블폰,22,2100000,46200000,정도윤
2025-08-22,광주,모바일,폴더블폰,7,2100000,14700000,정도윤
2025-08-24,광주,모바일,폴더블폰,6,2100000,12600000,한수아
2025-08-25,광주,모바일,플래그십 스마트폰,15,1350000,20250000,김민준
2025-08-25,인천,모바일,플래그십 스마트폰,9,1350000,12150000,박지호
2025-08-26,인천,액세서리,스마트워치,1,480000,480000,박지호
2025-08-29,부산,액세서리,스마트워치,11,480000,5280000,김민준
2025-08-31,광주,모바일,플래그십 스마트폰,10,1350000,13500000,한수아
2025-08-31,광주,노트북,그램 프로,24,3290000,78960000,박지호
2025-09-01,서울,액세서리,스마트워치,1,480000,480000,박지호
2025-09-06,인천,가전,스타일러,11,1800000,19800000,한수아
2025-09-10,서울,액세서리,무선이어폰,20,290000,5800000,최유나
2025-09-13,대구,액세서리,무선이어폰,7,290000,2030000,정도윤
2025-09-17,대구,노트북,그램 17,10,2390000,23900000,정도윤
2025-09-22,부산,액세서리,무선이어폰,8,290000,2320000,김민준
2025-09-24,서울,모바일,폴더블폰,14,2100000,29400000,한수아
2025-09-27,부산,액세서리,무선이어폰,24,290000,6960000,최유나
2025-09-29,인천,가전,프리미엄 에어컨,11,2200000,24200000,김민준
2025-09-29,서울,모바일,플래그십 스마트폰,17,1350000,22950000,이서연
2025-09-30,인천,모바일,플래그십 스마트폰,22,1350000,29700000,정도윤
2025-10-02,부산,액세서리,무선이어폰,14,290000,4060000,박지호
2025-10-04,서울,가전,스타일러,8,1800000,14400000,한수아
2025-10-05,부산,액세서리,스마트워치,2,480000,960000,최유나
2025-10-07,대구,모바일,폴더블폰,8,2100000,16800000,최유나
2025-10-08,인천,액세서리,무선이어폰,24,290000,6960000,최유나
2025-10-10,서울,액세서리,무선이어폰,8,290000,2320000,최유나
2025-10-14,부산,액세서리,무선이어폰,8,290000,2320000,이서연
2025-10-15,인천,노트북,그램 프로,19,3290000,62510000,박지호
2025-10-18,인천,노트북,그램 17,21,2390000,50190000,최유나
2025-10-18,인천,가전,시그니처 냉장고,24,4500000,108000000,김민준
2025-10-19,서울,모바일,플래그십 스마트폰,20,1350000,27000000,최유나
2025-10-20,인천,액세서리,무선이어폰,16,290000,4640000,이서연
2025-10-22,인천,모바일,폴더블폰,16,2100000,33600000,이서연
2025-10-22,광주,가전,프리미엄 에어컨,9,2200000,19800000,김민준
2025-10-24,광주,액세서리,무선이어폰,15,290000,4350000,최유나
2025-10-29,대구,노트북,그램 17,7,2390000,16730000,이서연
2025-10-29,광주,액세서리,스마트워치,19,480000,9120000,김민준
2025-10-30,서울,액세서리,무선이어폰,1,290000,290000,이서연
2025-10-31,대구,모바일,플래그십 스마트폰,23,1350000,31050000,한수아
2025-11-01,광주,노트북,그램 프로,20,3290000,65800000,최유나
2025-11-01,부산,액세서리,스마트워치,2,480000,960000,박지호
2025-11-02,인천,모바일,폴더블폰,15,2100000,31500000,박지호
2025-11-04,대구,가전,프리미엄 에어컨,2,2200000,4400000,정도윤
2025-11-06,인천,노트북,그램 17,24,2390000,57360000,정도윤
2025-11-07,서울,가전,시그니처 냉장고,10,4500000,45000000,정도윤
2025-11-09,부산,가전,시그니처 냉장고,21,4500000,94500000,박지호
2025-11-13,서울,노트북,그램 17,23,2390000,54970000,김민준
2025-11-16,광주,액세서리,무선이어폰,11,290000,3190000,최유나
2025-11-17,서울,모바일,폴더블폰,15,2100000,31500000,한수아
2025-11-17,광주,모바일,폴더블폰,4,2100000,8400000,이서연
2025-11-21,부산,노트북,그램 17,25,2390000,59750000,한수아
2025-11-24,대구,가전,시그니처 냉장고,24,4500000,108000000,이서연
2025-11-25,서울,액세서리,스마트워치,1,480000,480000,박지호
2025-11-26,부산,액세서리,무선이어폰,9,290000,2610000,이서연
2025-11-28,서울,모바일,폴더블폰,5,2100000,10500000,김민준
2025-12-02,대구,모바일,플래그십 스마트폰,16,1350000,21600000,박지호
2025-12-03,대구,노트북,그램 프로,7,3290000,23030000,이서연
2025-12-05,부산,모바일,폴더블폰,3,2100000,6300000,김민준
2025-12-05,부산,가전,시그니처 냉장고,8,4500000,36000000,정도윤
2025-12-08,대구,노트북,그램 17,5,2390000,11950000,김민준
2025-12-09,서울,모바일,폴더블폰,6,2100000,12600000,최유나
2025-12-16,부산,가전,프리미엄 에어컨,21,2200000,46200000,정도윤
2025-12-19,서울,모바일,폴더블폰,25,2100000,52500000,이서연
2025-12-19,광주,노트북,그램 프로,9,3290000,29610000,정도윤
2025-12-20,대구,모바일,폴더블폰,13,2100000,27300000,최유나
2025-12-22,인천,액세서리,스마트워치,22,480000,10560000,정도윤
2025-12-24,인천,모바일,폴더블폰,8,2100000,16800000,김민준
2025-12-28,부산,노트북,그램 프로,3,3290000,9870000,박지호
2025-12-28,인천,노트북,그램 프로,16,3290000,52640000,이서연
